epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
152,1682.63,0.65762,0.39348,0.96789,0.86636,0.84636,0.88472,0.64852,1.10904,0.68969,1.24675,0.0005017,0.0005017,0.0005017
153,1693.69,0.65301,0.3986,0.96301,0.8608,0.86241,0.89385,0.65226,1.10062,0.68512,1.2556,0.0004984,0.0004984,0.0004984
154,1704.75,0.6499,0.39431,0.96321,0.84988,0.84663,0.8828,0.63979,1.12662,0.70235,1.29892,0.0004951,0.0004951,0.0004951
155,1715.8,0.63811,0.3841,0.9576,0.86843,0.8587,0.89043,0.6525,1.10586,0.70858,1.26884,0.0004918,0.0004918,0.0004918
156,1726.85,0.64459,0.38299,0.96016,0.86723,0.86287,0.88917,0.65484,1.11099,0.68618,1.27843,0.0004885,0.0004885,0.0004885
157,1737.88,0.64051,0.37473,0.95563,0.84493,0.87133,0.88901,0.65267,1.10349,0.69688,1.25741,0.0004852,0.0004852,0.0004852
158,1748.95,0.62845,0.37596,0.95377,0.84876,0.85683,0.89311,0.65396,1.09637,0.69035,1.22969,0.0004819,0.0004819,0.0004819
159,1760.01,0.63767,0.37824,0.96132,0.8634,0.85676,0.88445,0.65259,1.09323,0.70948,1.25283,0.0004786,0.0004786,0.0004786
160,1771.06,0.62671,0.37459,0.95099,0.87911,0.85911,0.89627,0.66695,1.09664,0.70629,1.24828,0.0004753,0.0004753,0.0004753
161,1782.13,0.63515,0.3776,0.96059,0.84146,0.86487,0.88663,0.65571,1.09528,0.71845,1.28111,0.000472,0.000472,0.000472
162,1793.18,0.62378,0.37117,0.94896,0.83153,0.86953,0.88795,0.65503,1.09437,0.71149,1.26097,0.0004687,0.0004687,0.0004687
163,1804.22,0.62077,0.37004,0.94946,0.86282,0.85666,0.90001,0.67207,1.09268,0.70578,1.24431,0.0004654,0.0004654,0.0004654
164,1815.31,0.6187,0.36787,0.9425,0.83861,0.86679,0.89346,0.66532,1.08565,0.70763,1.23463,0.0004621,0.0004621,0.0004621
165,1826.36,0.61032,0.36148,0.95434,0.83479,0.86672,0.87481,0.64995,1.09961,0.70869,1.24748,0.0004588,0.0004588,0.0004588
166,1837.84,0.61556,0.36443,0.94814,0.85535,0.86443,0.89995,0.65497,1.10612,0.69732,1.26888,0.0004555,0.0004555,0.0004555
167,1848.86,0.61315,0.36482,0.95045,0.85877,0.8735,0.8987,0.66653,1.10089,0.69175,1.27359,0.0004522,0.0004522,0.0004522
168,1859.9,0.61675,0.37541,0.94874,0.84235,0.86977,0.88607,0.64663,1.10094,0.70264,1.25517,0.0004489,0.0004489,0.0004489
169,1870.93,0.61461,0.36314,0.94356,0.88061,0.8602,0.89336,0.66453,1.0882,0.7081,1.25555,0.0004456,0.0004456,0.0004456
170,1881.99,0.60432,0.36369,0.94495,0.84186,0.884,0.89615,0.66728,1.08606,0.69647,1.24631,0.0004423,0.0004423,0.0004423
171,1893.03,0.60733,0.35965,0.93852,0.84669,0.86106,0.89193,0.66078,1.09437,0.71334,1.25541,0.000439,0.000439,0.000439
172,1904.1,0.60025,0.35854,0.93871,0.84277,0.86004,0.89205,0.65838,1.10629,0.71208,1.26234,0.0004357,0.0004357,0.0004357
173,1915.13,0.59313,0.35725,0.93839,0.83882,0.88538,0.89138,0.65601,1.09278,0.70555,1.25473,0.0004324,0.0004324,0.0004324
174,1926.18,0.59811,0.36043,0.94219,0.86013,0.87158,0.89378,0.66147,1.10583,0.71455,1.28344,0.0004291,0.0004291,0.0004291
175,1937.23,0.59567,0.36265,0.94261,0.83727,0.89159,0.90146,0.66581,1.10212,0.6764,1.25865,0.0004258,0.0004258,0.0004258
176,1948.28,0.5949,0.35777,0.93633,0.8676,0.86914,0.90061,0.66962,1.0951,0.69171,1.25956,0.0004225,0.0004225,0.0004225
177,1959.32,0.60629,0.36743,0.94418,0.87459,0.84655,0.89272,0.6645,1.10395,0.69136,1.26274,0.0004192,0.0004192,0.0004192
178,1970.36,0.58763,0.35828,0.94071,0.87848,0.84768,0.8896,0.65622,1.10255,0.69244,1.26009,0.0004159,0.0004159,0.0004159
179,1981.43,0.5955,0.36163,0.93882,0.8692,0.84869,0.89111,0.65548,1.10049,0.69484,1.25535,0.0004126,0.0004126,0.0004126
180,1992.45,0.57743,0.35088,0.92585,0.85349,0.85532,0.89053,0.65514,1.09555,0.69818,1.26321,0.0004093,0.0004093,0.0004093
